id,stock_code,product_code,manufacturing_date,expiry_date,initial_qty,remaining_qty,arrival_date,shelf_life,lead_time
1,BEV-SOF,1,2014-11-21,2015-05-20,944,0,2015-01-02,0.00,0.00
2,BEV-SOF,2,2015-01-27,2015-07-26,56,0,2015-03-10,180.00,42.00
3,BEV-SOF,3,2015-02-14,2015-08-13,480,0,2015-03-28,180.00,42.00
4,BEV-SOF,4,2015-03-24,2015-09-20,323,0,2015-05-05,180.00,42.00
5,BEV-SOF,5,2015-05-11,2015-11-07,172,0,2015-06-22,180.00,42.00
6,BEV-SOF,6,2015-06-06,2015-12-03,611,0,2015-07-18,180.00,42.00
7,BEV-SOF,7,2015-07-21,2016-01-17,21,0,2015-09-01,180.00,42.00
8,BEV-SOF,8,2015-08-11,2016-02-07,431,0,2015-09-22,180.00,42.00
9,BEV-SOF,9,2015-09-15,2016-03-13,292,0,2015-10-27,180.00,42.00
10,BEV-SOF,10,2015-10-11,2016-04-08,342,0,2015-11-22,180.00,42.00
11,BEV-SOF,11,2015-10-21,2016-04-18,475,0,2015-12-02,180.00,42.00
12,BEV-SOF,12,2015-11-16,2016-05-14,350,0,2015-12-28,180.00,42.00
13,BEV-SOF,13,2015-12-09,2016-06-06,211,0,2016-01-20,180.00,42.00
14,BEV-SOF,14,2016-01-11,2016-07-09,194,0,2016-02-22,180.00,42.00
15,BEV-SOF,15,2016-02-03,2016-08-01,264,0,2016-03-16,180.00,42.00
16,BEV-SOF,16,2016-02-23,2016-08-21,299,0,2016-04-05,180.00,42.00
17,BEV-SOF,17,2016-03-08,2016-09-04,309,0,2016-04-19,180.00,42.00
18,BEV-SOF,18,2016-04-09,2016-10-06,174,0,2016-05-21,180.00,42.00
19,BEV-SOF,19,2016-04-20,2016-10-17,455,0,2016-06-01,180.00,42.00
20,BEV-SOF,20,2016-05-21,2016-11-17,251,0,2016-07-02,180.00,42.00
21,BEV-SOF,21,2016-06-19,2016-12-16,290,0,2016-07-31,180.00,42.00
22,BEV-SOF,22,2016-07-07,2017-01-03,273,0,2016-08-18,180.00,42.00
23,BEV-SOF,23,2016-08-04,2017-01-31,446,0,2016-09-15,180.00,42.00
24,BEV-SOF,24,2016-08-17,2017-02-13,355,0,2016-09-28,180.00,42.00
25,BEV-SOF,25,2016-09-18,2017-03-17,366,0,2016-10-30,180.00,42.00
26,BEV-SOF,26,2016-10-10,2017-04-08,711,0,2016-11-21,180.00,42.00
27,BEV-SOF,27,2016-11-07,2017-05-06,2,0,2016-12-19,180.00,42.00
28,BEV-SOF,28,2016-11-26,2017-05-25,373,0,2017-01-07,180.00,42.00
29,BEV-SOF,29,2016-12-21,2017-06-19,299,0,2017-02-01,180.00,42.00
30,BEV-SOF,30,2017-01-29,2017-07-28,227,0,2017-03-12,180.00,42.00
31,BEV-SOF,31,2017-02-26,2017-08-25,379,0,2017-04-09,180.00,42.00
32,BEV-SOF,32,2017-03-11,2017-09-07,295,0,2017-04-22,180.00,42.00
33,BEV-SOF,33,2017-04-04,2017-10-01,573,0,2017-05-16,180.00,42.00
34,BEV-SOF,34,2017-04-22,2017-10-19,233,0,2017-06-03,180.00,42.00
35,BEV-SOF,35,2017-05-20,2017-11-16,484,0,2017-07-01,180.00,42.00
36,BEV-SOF,36,2017-06-11,2017-12-08,521,0,2017-07-23,180.00,42.00
37,BEV-SOF,37,2017-07-08,2018-01-04,120,0,2017-08-19,180.00,42.00
38,BEV-SOF,38,2017-07-23,2018-01-19,629,0,2017-09-03,180.00,42.00
39,BEV-SOF,39,2017-08-11,2018-02-07,359,0,2017-09-22,180.00,42.00
40,BEV-SOF,40,2017-09-10,2018-03-09,333,0,2017-10-22,180.00,42.00
41,BEV-SOF,41,2017-10-02,2018-03-31,141,0,2017-11-13,180.00,42.00
42,BEV-SOF,42,2017-10-13,2018-04-11,421,0,2017-11-24,180.00,42.00
43,BEV-SOF,43,2017-10-28,2018-04-26,310,0,2017-12-09,180.00,42.00
